,Location,Price,Type,No. Beds,No. Baths,Area,Latitude,Longitude,Region,Sub-region
23.0,"Middle Badda, Badda, Dhaka",5175000,Apartment,3.0,3.0,1150.0,23.77753,90.4259,Badda,Middle Badda
24.0,"Middle Badda, Badda, Dhaka",5400000,Apartment,3.0,3.0,1200.0,23.77753,90.4259,Badda,Middle Badda
25.0,"Sector 12, Uttara, Dhaka",6000000,Apartment,3.0,2.0,1050.0,23.86846,90.3928,Uttara,Sector 12
26.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
27.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
28.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
29.0,"Ashkona, Dakshin Khan, Dhaka",7640000,Apartment,3.0,3.0,1280.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
30.0,"Ashkona, Dakshin Khan, Dhaka",7612500,Apartment,3.0,3.0,1275.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
31.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
32.0,"Block G, Bashundhara R-A, Dhaka",11500000,Apartment,3.0,3.0,1550.0,23.78357,90.40878000000001,BashundharaR-A,Block G
33.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
34.0,"Middle Badda, Badda, Dhaka",5500000,Apartment,2.0,3.0,1100.0,23.77753,90.4259,Badda,Middle Badda
35.0,"Ashkona, Dakshin Khan, Dhaka",5550000,Apartment,2.0,2.0,900.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
36.0,"Ashkona, Dakshin Khan, Dhaka",7640000,Apartment,3.0,3.0,1280.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
37.0,"Ashkona, Dakshin Khan, Dhaka",7640000,Apartment,3.0,3.0,1280.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
38.0,"Road No 2, Shyamoli, Dhaka",4500000,Apartment,3.0,2.0,970.0,23.78197,90.39943000000001,Shyamoli,Road No 2
39.0,"Goran, Khilgaon, Dhaka",5000000,Apartment,2.0,2.0,950.0,23.75349,90.42469,Khilgaon,Goran
40.0,"Majed Sardar Road, Bangshal, Dhaka",1200000,Apartment,2.0,1.0,320.0,23.72138,90.40091,Bangshal,Majed Sardar Road
41.0,"Majed Sardar Road, Bangshal, Dhaka",1200000,Apartment,2.0,1.0,320.0,23.72138,90.40091,Bangshal,Majed Sardar Road
42.0,"Pirerbag, Mirpur, Dhaka",6200000,Apartment,3.0,3.0,1110.0,23.81223,90.35967,Mirpur,Pirerbag
43.0,"Green Road, Kathalbagan, Dhaka",6300000,Apartment,3.0,2.0,950.0,23.7544,90.38859000000001,Kathalbagan,Green Road
44.0,"Ashkona, Dakshin Khan, Dhaka",6650000,Apartment,3.0,3.0,1100.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
45.0,"Hemayetpur, Savar, Dhaka",4000000,Plot,,,3640.0,23.841520000000003,90.24643,Savar,Hemayetpur
46.0,"Manda, Mugdapara, Dhaka",24000000,Plot,,,2184.0,23.72813,90.42969000000001,Mugdapara,Manda
47.0,"East Maniknagar, Maniknagar, Dhaka",2600000,Plot,,,900.0,23.72263,90.42987,Maniknagar,East Maniknagar
48.0,"Mastertek, Cantonment, Dhaka",3500000,Apartment,3.0,3.0,940.0,23.8283,90.37955,Cantonment,Mastertek
49.0,"Sector 4, Uttara, Dhaka",65000000,Building,12.0,10.0,6684.0,23.86846,90.3928,Uttara,Sector 4
50.0,"Jurain, Shyampur, Dhaka",22000000,Building,16.0,10.0,5400.0,23.696360000000002,90.43018000000001,Shyampur,Jurain
51.0,"Sector 18, Uttara, Dhaka",8500000,Apartment,3.0,4.0,1654.0,23.86846,90.3928,Uttara,Sector 18
52.0,"Block J, Baridhara, Dhaka",12000000,Apartment,3.0,3.0,1334.0,23.8025,90.42285,Baridhara,Block J
53.0,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3800000,Apartment,2.0,2.0,850.0,23.76747,90.35282,Adabor,Shyamoli Housing (2nd Project)
54.0,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3500000,Apartment,2.0,2.0,750.0,23.76747,90.35282,Adabor,Shyamoli Housing (2nd Project)
55.0,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3500000,Apartment,2.0,2.0,750.0,23.76747,90.35282,Adabor,Shyamoli Housing (2nd Project)
56.0,"Middle Badda, Badda, Dhaka",8500000,Apartment,3.0,3.0,1650.0,23.77753,90.4259,Badda,Middle Badda
57.0,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3800000,Apartment,2.0,2.0,850.0,23.76747,90.35282,Adabor,Shyamoli Housing (2nd Project)
58.0,"Sonatongor Masjid Road, Hazaribag, Dhaka",6000000,Apartment,3.0,3.0,1200.0,23.783479999999997,90.39614,Hazaribag,Sonatongor Masjid Road
59.0,"Khilbari Tek, Badda, Dhaka",5400000,Apartment,3.0,3.0,1250.0,23.81501,90.43623000000001,Badda,Khilbari Tek
60.0,"Darussalam, Mirpur, Dhaka",6200000,Apartment,2.0,3.0,1000.0,23.7792,90.35374,Mirpur,Darussalam
61.0,"Nobodoy Housing Society, Mohammadpur, Dhaka",8500000,Apartment,3.0,3.0,1500.0,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
62.0,"West Shewrapara, Mirpur, Dhaka",4000000,Apartment,2.0,2.0,880.0,23.81223,90.35967,Mirpur,West Shewrapara
63.0,"Bank Colony, Savar, Dhaka",1975000,Apartment,2.0,1.0,790.0,23.841520000000003,90.24643,Savar,Bank Colony
64.0,"Mahuthtuli, Bangshal, Dhaka",2925000,Apartment,2.0,2.0,650.0,23.71753,90.40474,Bangshal,Mahuthtuli
65.0,"Goran, Khilgaon, Dhaka",5000000,Apartment,3.0,2.0,1220.0,23.75349,90.42469,Khilgaon,Goran
66.0,"Goran, Khilgaon, Dhaka",5200000,Apartment,3.0,2.0,1260.0,23.75349,90.42469,Khilgaon,Goran
67.0,"Goran, Khilgaon, Dhaka",4300000,Apartment,3.0,2.0,1050.0,23.75349,90.42469,Khilgaon,Goran
68.0,"Goran, Khilgaon, Dhaka",4100000,Apartment,3.0,2.0,1000.0,23.75349,90.42469,Khilgaon,Goran
69.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
70.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
71.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
72.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
73.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
74.0,"Middle Badda, Badda, Dhaka",5040000,Apartment,3.0,2.0,1050.0,23.77753,90.4259,Badda,Middle Badda
75.0,"Middle Badda, Badda, Dhaka",5040000,Apartment,3.0,2.0,1050.0,23.77753,90.4259,Badda,Middle Badda
76.0,"Middle Badda, Badda, Dhaka",5040000,Apartment,3.0,2.0,1050.0,23.77753,90.4259,Badda,Middle Badda
77.0,"Manda, Mugdapara, Dhaka",3200000,Apartment,4.0,2.0,900.0,23.72813,90.42969000000001,Mugdapara,Manda
78.0,"Nurer Chala, Badda, Dhaka",6800000,Apartment,3.0,3.0,1300.0,23.81501,90.43623000000001,Badda,Nurer Chala
79.0,"West Agargaon, Agargaon, Dhaka",500000,Apartment,3.0,3.0,1200.0,23.773229999999998,90.37154,Agargaon,West Agargaon
80.0,"Tejkunipara, Tejgaon, Dhaka",9500000,Apartment,3.0,3.0,1300.0,23.7921,90.37846,Tejgaon,Tejkunipara
81.0,"Kallyanpur, Mirpur, Dhaka",6000000,Apartment,3.0,3.0,1100.0,23.81467,90.37306,Mirpur,Kallyanpur
82.0,"Sector 9, Purbachal, Dhaka",17500000,Plot,,,2184.0,23.826529999999998,90.42905999999999,Purbachal,Sector 9
83.0,"Sector 8, Purbachal, Dhaka",30000000,Plot,,,3640.0,23.8573,90.40043,Purbachal,Sector 8
84.0,"Purbachal, Dhaka",15000000,Plot,,,2184.0,23.826529999999998,90.42905999999999,Purbachal,
85.0,"Purbachal, Dhaka",13500000,Plot,,,2184.0,23.826529999999998,90.42905999999999,Purbachal,
86.0,"Sector 7, Purbachal, Dhaka",28500000,Plot,,,3640.0,23.85706,90.40138,Purbachal,Sector 7
87.0,"Sector 5, Purbachal, Dhaka",15000000,Plot,,,2184.0,23.86409,90.39401,Purbachal,Sector 5
89.0,"Sector 8, Purbachal, Dhaka",15000000,Plot,,,2184.0,23.8573,90.40043,Purbachal,Sector 8
90.0,"Purbachal, Dhaka",26000000,Plot,,,3640.0,23.826529999999998,90.42905999999999,Purbachal,
91.0,"Sector 3, Purbachal, Dhaka",40000000,Plot,,,5400.0,23.855610000000002,90.40267,Purbachal,Sector 3
92.0,"West Kazipara, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,975.0,23.800910000000002,90.37135,Mirpur,West Kazipara
93.0,"Mirpur DOHS, Mirpur, Dhaka",23000000,Apartment,4.0,4.0,2200.0,23.828960000000002,90.37865,Mirpur,Mirpur DOHS
94.0,"Sonatongor Masjid Road, Hazaribag, Dhaka",5500000,Apartment,3.0,3.0,1100.0,23.783479999999997,90.39614,Hazaribag,Sonatongor Masjid Road
95.0,"Jigatola, Hazaribag, Dhaka",35000000,Apartment,5.0,6.0,5000.0,23.73926,90.37563,Hazaribag,Jigatola
96.0,"Sonatongor Masjid Road, Hazaribag, Dhaka",5400000,Apartment,3.0,3.0,1080.0,23.783479999999997,90.39614,Hazaribag,Sonatongor Masjid Road
97.0,"Sonatongor Masjid Road, Hazaribag, Dhaka",6000000,Apartment,3.0,3.0,1200.0,23.783479999999997,90.39614,Hazaribag,Sonatongor Masjid Road
98.0,"Dutabash Road, Baridhara, Dhaka",37000000,Apartment,3.0,3.0,3244.0,23.766289999999998,90.41775,Baridhara,Dutabash Road
99.0,"Kallyanpur, Mirpur, Dhaka",6800000,Apartment,3.0,3.0,1315.0,23.81467,90.37306,Mirpur,Kallyanpur
100.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
101.0,"Kutum Goli, Agargaon, Dhaka",5280000,Apartment,3.0,2.0,1100.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
102.0,"Kutum Goli, Agargaon, Dhaka",5280000,Apartment,3.0,2.0,1100.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
103.0,"Kutum Goli, Agargaon, Dhaka",5280000,Apartment,3.0,2.0,1100.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
104.0,"Green Road, Kathalbagan, Dhaka",16000000,Apartment,3.0,3.0,1630.0,23.7544,90.38859000000001,Kathalbagan,Green Road
105.0,"Free School Street, Kathalbagan, Dhaka",10000000,Apartment,3.0,3.0,1503.0,23.748170000000002,90.38665,Kathalbagan,Free School Street
106.0,"West Malibag, Malibagh, Dhaka",7000000,Apartment,3.0,2.0,1060.0,23.74979,90.41256,Malibagh,West Malibag
107.0,"Nobodoy Housing Society, Mohammadpur, Dhaka",8700000,Apartment,2.0,2.0,800.0,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
108.0,"Block F, Bashundhara R-A, Dhaka",10000000,Apartment,3.0,3.0,1550.0,23.75625,90.36915,BashundharaR-A,Block F
109.0,"Block F, Bashundhara R-A, Dhaka",10000000,Apartment,3.0,3.0,1550.0,23.75625,90.36915,BashundharaR-A,Block F
110.0,"Road No 7A, Dhanmondi, Dhaka",42300000,Apartment,3.0,3.0,2570.0,23.766289999999998,90.41775,Dhanmondi,Road No 7A
111.0,"Road No 7A, Dhanmondi, Dhaka",43500000,Apartment,3.0,3.0,2640.0,23.766289999999998,90.41775,Dhanmondi,Road No 7A
112.0,"Road No 7A, Dhanmondi, Dhaka",44000000,Apartment,3.0,3.0,2674.0,23.766289999999998,90.41775,Dhanmondi,Road No 7A
113.0,"West Dhanmondi, Dhanmondi, Dhaka",6500000,Apartment,3.0,3.0,1050.0,23.75047,90.36678,Dhanmondi,West Dhanmondi
114.0,"Free School Street, Kathalbagan, Dhaka",8500000,Apartment,3.0,3.0,1278.0,23.748170000000002,90.38665,Kathalbagan,Free School Street
115.0,"Meradia, Khilgaon, Dhaka",7200000,Apartment,3.0,3.0,1203.0,23.75349,90.42469,Khilgaon,Meradia
116.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
117.0,"South Monipur, Mirpur, Dhaka",4500000,Apartment,2.0,2.0,1000.0,23.81223,90.35967,Mirpur,South Monipur
118.0,"Block H, Bashundhara R-A, Dhaka",13000000,Apartment,3.0,3.0,1809.0,23.668029999999998,90.43935,BashundharaR-A,Block H
119.0,"Sector 7, Uttara, Dhaka",11000000,Apartment,3.0,3.0,1530.0,23.86846,90.3928,Uttara,Sector 7
120.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
121.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
122.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
123.0,"East Shewrapara, Mirpur, Dhaka",6000000,Apartment,3.0,2.0,1008.0,23.79255,90.3749,Mirpur,East Shewrapara
124.0,"Crescent Road, Kathalbagan, Dhaka",16000000,Apartment,3.0,3.0,1575.0,23.74545,90.38776,Kathalbagan,Crescent Road
125.0,"New Eskaton, Eskaton, Dhaka",11500000,Apartment,3.0,3.0,1440.0,23.747510000000002,90.40013,Eskaton,New Eskaton
126.0,"Nobodoy Housing Society, Mohammadpur, Dhaka",8700000,Apartment,2.0,2.0,900.0,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
127.0,"Darussalam, Mirpur, Dhaka",4000000,Apartment,2.0,2.0,815.0,23.7792,90.35374,Mirpur,Darussalam
128.0,"PC Culture Housing, Mohammadpur, Dhaka",9000000,Apartment,3.0,4.0,1650.0,23.76427,90.36547,Mohammadpur,PC Culture Housing
129.0,"North Adabor, Adabor, Dhaka",6700000,Apartment,3.0,3.0,1115.0,23.74372,90.385,Adabor,North Adabor
130.0,"Ranavola Road, Turag, Dhaka",5500000,Apartment,3.0,3.0,1560.0,23.888070000000003,90.38933,Turag,Ranavola Road
131.0,"Road No 12, Dhanmondi, Dhaka",25000000,Apartment,3.0,4.0,2400.0,23.766289999999998,90.41775,Dhanmondi,Road No 12
132.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
133.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
134.0,"Kallyanpur, Mirpur, Dhaka",2500000,Apartment,2.0,1.0,650.0,23.81467,90.37306,Mirpur,Kallyanpur
135.0,"Sector 4, Uttara, Dhaka",12000000,Apartment,3.0,3.0,1450.0,23.86846,90.3928,Uttara,Sector 4
136.0,"Sector 4, Uttara, Dhaka",12000000,Apartment,3.0,3.0,1450.0,23.86846,90.3928,Uttara,Sector 4
137.0,"Kallyanpur, Mirpur, Dhaka",5000000,Apartment,2.0,2.0,950.0,23.81467,90.37306,Mirpur,Kallyanpur
138.0,"Gandaria, Sutrapur, Dhaka",4650000,Apartment,2.0,2.0,930.0,23.70279,90.41988,Sutrapur,Gandaria
139.0,"Middle Badda, Badda, Dhaka",8500000,Apartment,3.0,3.0,1650.0,23.77753,90.4259,Badda,Middle Badda
140.0,"Mahuthtuli, Bangshal, Dhaka",2925000,Apartment,2.0,2.0,650.0,23.71753,90.40474,Bangshal,Mahuthtuli
141.0,"Gulbag, Malibagh, Dhaka",32000000,Plot,,,3640.0,23.74979,90.41256,Malibagh,Gulbag
142.0,"Gulshan 1, Gulshan, Dhaka",11600000,Apartment,3.0,3.0,1100.0,23.790589999999998,90.42566,Gulshan,Gulshan 1
143.0,"Shiddeswari Road, Shiddheswari, Dhaka",37000000,Apartment,4.0,4.0,2745.0,23.766289999999998,90.41775,Shiddheswari,Shiddeswari Road
144.0,"Poribagh Road Number 2, Paribagh, Dhaka",35000000,Apartment,3.0,4.0,2572.0,23.775270000000003,90.35955,Paribagh,Poribagh Road Number 2
145.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
146.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
147.0,"Gandaria, Sutrapur, Dhaka",5115000,Apartment,2.0,2.0,930.0,23.70279,90.41988,Sutrapur,Gandaria
148.0,"Gandaria, Sutrapur, Dhaka",4650000,Apartment,2.0,2.0,930.0,23.70279,90.41988,Sutrapur,Gandaria
149.0,"Shiddheswari Lane, Shiddheswari, Dhaka",17000000,Apartment,3.0,4.0,1550.0,23.73795,90.39749,Shiddheswari,Shiddheswari Lane
150.0,"Boro Maghbazar, Maghbazar, Dhaka",9600000,Apartment,3.0,3.0,1400.0,23.7526,90.4026,Maghbazar,Boro Maghbazar
151.0,"Block F, Bashundhara R-A, Dhaka",14000000,Apartment,3.0,4.0,1500.0,23.75625,90.36915,BashundharaR-A,Block F
152.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
153.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
154.0,"Kutum Goli, Agargaon, Dhaka",5184000,Apartment,2.0,2.0,1080.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
155.0,"Middle Badda, Badda, Dhaka",8500000,Apartment,3.0,3.0,1650.0,23.77753,90.4259,Badda,Middle Badda
156.0,"Sector 3, Uttara, Dhaka",4200000,Apartment,1.0,1.0,800.0,23.86846,90.3928,Uttara,Sector 3
157.0,"Block B, Bashundhara R-A, Dhaka",16500000,Apartment,3.0,4.0,2110.0,23.75729,90.36780999999999,BashundharaR-A,Block B
158.0,"Moneshwar, Hazaribag, Dhaka",4800000,Apartment,2.0,2.0,900.0,23.73931,90.36917,Hazaribag,Moneshwar
159.0,"Section 12, Mirpur, Dhaka",9600000,Apartment,3.0,3.0,1400.0,23.81223,90.35967,Mirpur,Section 12
160.0,"Block A, Bashundhara R-A, Dhaka",20504200,Apartment,3.0,3.0,2374.0,23.75669,90.37316,BashundharaR-A,Block A
161.0,"Block A, Bashundhara R-A, Dhaka",20504200,Apartment,3.0,3.0,2374.0,23.75669,90.37316,BashundharaR-A,Block A
162.0,"Doniya, Shyampur, Dhaka",4000000,Apartment,3.0,2.0,1000.0,23.68094,90.43935,Shyampur,Doniya
163.0,"Block J, Bashundhara R-A, Dhaka",12400000,Apartment,3.0,4.0,2000.0,23.668029999999998,90.43935,BashundharaR-A,Block J
164.0,"Road No 9A, Dhanmondi, Dhaka",13000000,Apartment,3.0,3.0,1300.0,23.766289999999998,90.41775,Dhanmondi,Road No 9A
165.0,"Sir Sayed Road, Mohammadpur, Dhaka",24500000,Apartment,4.0,3.0,2334.0,23.72899,90.39827,Mohammadpur,Sir Sayed Road
166.0,"Poribagh Road Number 2, Paribagh, Dhaka",17500000,Apartment,4.0,4.0,2400.0,23.775270000000003,90.35955,Paribagh,Poribagh Road Number 2
167.0,"Karwan Bazar, Tejgaon, Dhaka",8200000,Apartment,3.0,3.0,1150.0,23.7921,90.37846,Tejgaon,Karwan Bazar
168.0,"Section 1, Mirpur, Dhaka",3000000,Apartment,2.0,2.0,800.0,23.81223,90.35967,Mirpur,Section 1
169.0,"Block J, Bashundhara R-A, Dhaka",12400000,Apartment,3.0,4.0,2000.0,23.668029999999998,90.43935,BashundharaR-A,Block J
170.0,"Kutum Goli, Agargaon, Dhaka",4704000,Apartment,2.0,2.0,980.0,23.773229999999998,90.37154,Agargaon,Kutum Goli
171.0,"Pirerbag, Mirpur, Dhaka",3500000,Apartment,3.0,2.0,950.0,23.81223,90.35967,Mirpur,Pirerbag
172.0,"Block B, Bashundhara R-A, Dhaka",12550000,Apartment,3.0,3.0,1595.0,23.75729,90.36780999999999,BashundharaR-A,Block B
173.0,"Block B, Bashundhara R-A, Dhaka",12550000,Apartment,3.0,3.0,1595.0,23.75729,90.36780999999999,BashundharaR-A,Block B
174.0,"Road No 8A, Dhanmondi, Dhaka",11000000,Apartment,3.0,3.0,1250.0,23.766289999999998,90.41775,Dhanmondi,Road No 8A
175.0,"Block J, Bashundhara R-A, Dhaka",9000000,Apartment,3.0,3.0,1250.0,23.668029999999998,90.43935,BashundharaR-A,Block J
176.0,"Block J, Bashundhara R-A, Dhaka",18000000,Apartment,4.0,5.0,2500.0,23.668029999999998,90.43935,BashundharaR-A,Block J
177.0,"Block J, Bashundhara R-A, Dhaka",9000000,Apartment,3.0,3.0,1250.0,23.668029999999998,90.43935,BashundharaR-A,Block J
178.0,"Road No 5, Banani, Dhaka",22000000,Apartment,3.0,3.0,1890.0,23.75479,90.36055999999999,Banani,Road No 5
179.0,"Block VIP 3, Dumni, Dhaka",20600000,Plot,,,4368.0,23.7726,90.36301999999999,Dumni,Block VIP 3
180.0,"Aainusbag, Dakshin Khan, Dhaka",6000000,Apartment,3.0,3.0,1250.0,23.851589999999998,90.4151,DakshinKhan,Aainusbag
181.0,"Ashkona, Dakshin Khan, Dhaka",5000000,Apartment,3.0,3.0,1375.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
182.0,"Ashkona, Dakshin Khan, Dhaka",4300000,Apartment,3.0,3.0,1250.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
183.0,"Ashkona, Dakshin Khan, Dhaka",4600000,Apartment,3.0,3.0,1375.0,23.851589999999998,90.4151,DakshinKhan,Ashkona
184.0,"North Jatra Bari, Jatra Bari, Dhaka",3200000,Apartment,2.0,2.0,600.0,23.71667,90.42181,JatraBari,North Jatra Bari
185.0,"Indira Road, Tejgaon, Dhaka",25000000,Apartment,3.0,4.0,2016.0,23.75641,90.3887,Tejgaon,Indira Road
186.0,"Moushair, Dakshin Khan, Dhaka",3500000,Apartment,2.0,2.0,850.0,23.851589999999998,90.4151,DakshinKhan,Moushair
188.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",8400000,Apartment,3.0,3.0,1350.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
189.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",7100000,Apartment,3.0,3.0,1150.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
190.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",7100000,Apartment,3.0,3.0,1150.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
191.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",8400000,Apartment,3.0,3.0,1350.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
192.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",7100000,Apartment,3.0,3.0,1150.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
193.0,"Mohammadi Housing LTD., Mohammadpur, Dhaka",8400000,Apartment,3.0,3.0,1350.0,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
194.0,"Block F, Bashundhara R-A, Dhaka",13000000,Apartment,3.0,4.0,1460.0,23.75625,90.36915,BashundharaR-A,Block F
195.0,"Taltola, Dakshin Khan, Dhaka",5000000,Apartment,3.0,3.0,1375.0,23.851589999999998,90.4151,DakshinKhan,Taltola
196.0,"Taltola, Dakshin Khan, Dhaka",3800000,Apartment,3.0,3.0,1065.0,23.851589999999998,90.4151,DakshinKhan,Taltola
197.0,"Section 2, Mirpur, Dhaka",36000000,Building,27.0,10.0,9750.0,23.81223,90.35967,Mirpur,Section 2
